Mandarin,Pinyin,English,Pinyin/English
的 ,de  ,of ,de  of 
我 ,wǒ  ,i ,wǒ  i 
你 ,nǐ  ,you ,nǐ  you 
了 ,le  ,completion particle,le  completion particle
是 ,shì  ,yes ,shì  yes 
在 ,zài  ,exist ,zài  exist 
他 ,tā  ,he ,tā  he 
我们 ,wǒmen  ,us ,wǒmen  us 
不 ,bù  ,no ,bù  no 
吗 ,ma  ,yes/no question particle,ma  yes/no question particle
好 ,hǎo  ,good ,hǎo  good 
什么 ,shénme  ,what ,shénme  what 
有 ,yǒu  ,have ,yǒu  have 
就 ,jiù  ,at once ,jiù  at once 
吧 ,ba,suggestion particle,ba suggestion particle
她 ,tā  ,she ,tā  she 
这 ,zhè  ,this ,zhè  this 
知道 ,zhīdào  ,know ,zhīdào  know 
说 ,shuō  ,explain ,shuō  explain 
都 ,doū,all ,doūall 
去 ,qù  ,go ,qù  go 
很 ,hěn  ,very ,hěn  very 
啊 ,a  ,ah ,a  ah 
要 ,yào  ,want ,yào  want 
也 ,yě  ,also ,yě  also 
他们 ,tāmen  ,them ,tāmen  them 
和 ,hé  ,and ,hé  and 
那 ,nà  ,that ,nà  that 
想 ,xiǎng  ,think ,xiǎng  think 
人 ,rén  ,people ,rén  people 
会 ,huì  ,meeting ,huì  meeting 
一个 ,yīgè  ,one ,yīgè  one 
来 ,lái  ,come ,lái  come 
把 ,bǎ  ,preposition marking the object of an action,bǎ  preposition marking the object of an action
对 ,duì  ,correct,duì  correct
没有 ,méiyǒu  ,no ,méiyǒu  no 
做 ,zuò  ,do ,zuò  do 
不是 ,bùshì  ,no ,bùshì  no 
让 ,ràng  ,let ,ràng  let 
给 ,gěi  ,give ,gěi  give 
可以 ,kěyǐ  ,can ,kěyǐ  can 
你们 ,nǐmen  ,you ,nǐmen  you 
呢 ,ne  ,question particle,ne  question particle
但 ,dàn  ,but ,dàn  but 
到 ,dào  ,arrive ,dào  arrive 
还 ,huán  ,return ,huán  return 
现在 ,xiànzài  ,now ,xiànzài  now 
这个 ,zhège  ,this ,zhège  this 
能 ,néng  ,able ,néng  able 
怎么 ,zěnme  ,how ,zěnme  how 
就是 ,jiùshì  ,that is ,jiùshì  that is 
跟 ,gēn  ,and ,gēn  and 
如果 ,rúguǒ  ,if ,rúguǒ  if 
没 ,méi  ,without ,méi  without 
它 ,tā  ,it ,tā  it 
走 ,zǒu  ,walk ,zǒu  walk 
上 ,shàng  ,above,shàng  above
得 ,dé  ,have to ,dé  have to 
被 ,bèi  ,quilt ,bèi  quilt 
这里 ,zhèlǐ  ,here ,zhèlǐ  here 
